"","bd","soc","ph_cacl2","sand","clay","depth","structsize","structtype","surf_geology","province","hzn_desg"
"205196",1.7,0.5,7.800000191,26.8,15.9,59.5,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bk"
"208616",0.8,1.2,5.800000191,24.5,1.2,42.5,"medium and coarse","subangular blocky","residual materials developed in fine-grained sedimentary rocks","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","B"
"1795",1.6,0.4,6.199999809,62.1,30.9,81.5,"coarse","prismatic","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bt"
"167928",1.4,0.7,8.300000191,12.4,15.9,34,"medium and coarse","subangular blocky","alluvial sediments, thick","intermountain semi-desert province","Bt"
"162189",1.5,0.4,4.900000095,11.1,22.8,52,"very fine","blocky","colluvial sediments and residual material","laurentian mixed forest province","Bt"
"158301",1.3,1.3,7.099999905,13,27.2,86,"fine","granular","eolian sediments, mostly loess, thick","great plains steppe province","C"
"124567",1.6,0.4,4.699999809,63.8,8.6,16,"medium","granular","alluvial sediments, thin","great plains steppe province","Ap"
"126512",1.4,0.7,8.399999619,8.6,35.6,23.5,"medium","platy","lacustrine sediments","intermountain semi-desert and desert province","Bt"
"125236",1.4,1.8,5.199999809,15.1,33.7,61.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"79043",1.5,0.4,7,1.1,69,92.5,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Bt"
"88186",1.6,0.2,7.699999809,75.3,10.9,67.5,"medium","subangular blocky","alluvial sediments, thin","great plains steppe province","Bk"
"7352",1.6,0.5,7.699999809,47,16,46.5,"medium and coarse","subangular blocky","alluvial sediments, thin","prairie parkland (subtropical) province","Bt"
"197257",1.6,0.2,5.099999905,24,29.5,145.5,"medium","angular blocky","proglacial sediments, mostly coarse-grained, thin","pacific lowland mixed forest province","Bt"
"133213",1.5,0.6,4.099999905,10.5,27.4,40.5,"medium","angular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (oceanic) province","Bt"
"97731",1.2,1.1,4.800000191,33.4,27,35.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bt"
"196890",1.8,0.1,4.400000095,61.7,9.2,95,"medium","subangular blocky","glacial till sediments, mostly silty, thin","laurentian mixed forest province","Bt"
"147705",1.7,0.3,5.800000191,53.1,13.2,86.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (oceanic) province","Bx"
"99188",1.4,0.4,7.300000191,4.1,45.6,123,"fine","angular blocky","alluvial sediments, thin","eastern broadleaf forest (continental) province","Bt"
"44655",1.4,0.3,6.199999809,38.2,37.2,33,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"27728",1.3,0.5,7.900000095,40,13.1,1,"fine","subangular blocky","alluvial sediments, thick","american semi-desert and desert province","E"
"144072",1.5,2.6,5.5,2.9,45.3,24.5,"medium","angular blocky","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (continental) province","Ap"
"26649",2,0.7,4.599999905,76,4,65,"medium","subangular blocky","coastal zone sediments, mostly medium-grained","outer coastal plain mixed forest province","Bt"
"190794",1.5,0.7,5.599999905,48.7,9,46.5,"very fine and fine","angular blocky","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert province","B"
"136599",1.4,1.3,5.199999809,43.2,13.3,6.5,"medium and coarse","angular blocky","residual materials developed in fine-grained sedimentary rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","E"
"6960",1.6,0.2,4.099999905,52.2,33.8,101,"coarse","subangular blocky","coastal zone sediments, mostly fine-grained","southeastern mixed forest province","Bt"
"148013",1.6,0.4,5.300000191,10.4,41.3,73.5,"medium","subangular blocky","residual materials developed in carbonate rocks, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"16265",1.2,2.5,7.599999905,23.7,27.3,32,"medium","granular","residual materials developed in carbonate rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","A"
"1909",1.3,0.7,7.800000191,31.3,50.1,88,"medium","subangular blocky","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bt"
"15405",1.5,1.1,5,61.2,13.9,7.5,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","southeastern mixed forest province","A"
"89049",1.5,0.8,5.900000095,5.7,33,142.5,"fine and medium","angular blocky","alluvial sediments, thin","great plains steppe province","AB"
"145579",1.3,0.4,3.799999952,11.6,46.6,104,"coarse","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"154799",1.4,1.1,5.599999905,38.9,30.1,51,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"211965",1.5,0.3,5.300000191,92,1.2,31.5,"medium and coarse","subangular blocky","proglacial sediments, mostly fine grained, thin","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","E"
"129130",1.6,0.5,3.799999952,67.1,10.5,183,"coarse","platy","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bx"
"88183",1.3,0.8,8.100000381,69.5,13.1,13,"medium","subangular blocky","alluvial sediments, thin","great plains steppe province","A"
"42340",1.6,0.3,6.800000191,81.6,12.7,26,"very fine and fine","granular","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","Bt"
"31113",1.4,0.9,7.900000095,12,41.7,6.5,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","great plains steppe and shrub province","Ap"
"61895",1.4,0.7,8.399999619,18.3,36.8,75,"medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bk"
"158312",1.4,1,4.800000191,1.6,24.2,52,"fine and medium","subangular blocky","alluvial sediments, thick","prairie parkland (temperate) province","B"
"204169",1.5,0.8,8.100000381,12.9,52.6,41.5,"medium and coarse","angular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bt"
"86589",1.1,3.5,5.199999809,42.2,15.6,16,"fine","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","A"
"191915",1.5,0.4,4.699999809,9.9,44.3,68.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","pacific lowland mixed forest province","Bt"
"208576",1.2,2.4,7.599999905,19.7,25.7,7.5,"fine and medium","granular","alluvial sediments, thin","great plains-palouse dry steppe province","A"
"109816",1.1,0.6,7.800000191,46.2,28,38,"fine and medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bk"
"86046",1.2,4.1,6.099999905,3.5,32.7,4.5,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","prairie parkland (temperate) province","A"
"200822",1.2,2.6,7.400000095,30.5,33,5,"very fine","granular","residual materials developed in sedimentary rocks, discontinuous","middle rocky mountain steppe-coniferous forest-alpine meadow province","A"
"209801",0.8,2.6,5,51.3,6,19,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thin","pacific lowland mixed forest province","B"
"163979",1.5,1,5.699999809,52.7,20.4,37.5,"medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","BA"
"192565",1.6,1.3,4.800000191,53.7,4.4,9,"medium","granular","glacial till sediments, mostly silty, thick","laurentian mixed forest province","Ap"
"129825",1.2,2.1,5.099999905,56.5,15.2,9,"fine","granular","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Ap"
"28224",1.7,0.2,4.599999905,61.9,29.5,48,"medium","subangular blocky","residual materials developed in alluvial sediments","southeastern mixed forest province","B"
"5513",1.3,0.6,7.800000191,1.4,27.3,118.5,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (subtropical) province","B"
"196613",1.3,2.1,4.699999809,46.2,12.3,24.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","laurentian mixed forest province","Ap"
"14777",1.3,0.4,3.599999905,4.2,74.9,82,"coarse","angular blocky","residual materials developed in sedimentary rocks, discontinuous","southeastern mixed forest province","Bt"
"160527",1.4,0.8,7.699999809,0.8,38.7,30.5,"medium","subangular blocky","alluvial sediments, thin","intermountain semi-desert province","C"
"99898",1.3,0.3,6.400000095,4.7,48.1,183,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","prairie parkland (temperate) province","Bt"
"162362",1.4,0.4,4.599999905,56.7,12.1,110.5,"coarse","subangular blocky","colluvial sediments and residual material","eastern broadleaf forest (oceanic) province","B"
"201121",1.5,1.2,5.400000095,8.4,60,16.5,"medium","angular blocky","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","B"
"198932",1.3,1.6,5.800000191,49.9,12.7,4,"fine","granular","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","A"
"128623",1.3,0.6,4.5,38.1,38.1,16,"fine","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bt"
"72455",1.1,3.2,5.800000191,60.2,11.6,6.5,"fine","subangular blocky","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert and desert province","A"
"42592",1.5,0.4,7.800000191,37.1,36.2,141,"medium and coarse","subangular blocky","residual materials developed in igneous and metamorphic rocks","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","B"
"171554",1.3,1.9,5.900000095,1.7,37.6,33.5,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","AB"
"113586",1.2,1.9,4.699999809,44.3,19.9,9,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","outer coastal plain mixed forest province","Ap"
"160083",1.4,2.6,6.599999905,28.8,17.9,2,"coarse","platy","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert province","A"
"108700",1.5,1.3,6.5,57.3,13.7,4,"coarse","subangular blocky","residual materials developed in igneous and metamorphic rocks","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","A"
"69532",1.6,0.6,8.399999619,49.3,26.2,77.5,"coarse","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","colorado plateau semi-desert province","Bk"
"160157",1,0.7,5.199999809,62.1,6.2,32.5,"medium","subangular blocky","volcanic rocks, basaltic and andesitic","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"152332",1.6,0.6,6.699999809,50.8,25.1,53.5,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","Bt"
"147176",1.6,0.8,5.800000191,78.2,4.5,29.5,"coarse","granular","alluvial sediments, thin","great plains steppe province","A"
"157326",1.7,0.4,6.5,60.7,12,132,"coarse","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (oceanic) province","C"
"77212",1.4,0.1,5,14.6,28.7,185,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","prairie parkland (temperate) province","B"
"103961",0.8,0.4,6.300000191,12.9,72.1,160,"fine","angular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Bt"
"7476",1.3,0.4,5,5.9,72,59.5,"medium","angular blocky","coastal zone sediments, mostly fine-grained","southeastern mixed forest province","Bt"
"161404",1.2,0.4,7.400000095,58.2,13,105.5,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","B"
"72330",1.8,0.4,3.599999905,1.6,38.5,188,"medium","angular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","B"
"158198",1.5,0.1,7.599999905,85.5,9.3,98,"very coarse","prismatic","eolian sediments, mostly dune sand, thick","great plains steppe province","Bk"
"148060",1.6,0.9,5.099999905,44.9,11.8,67,"medium","subangular blocky","glacial till sediments, mostly sandy, thin","eastern broadleaf forest (oceanic) province","A"
"131846",1.5,0.2,4.099999905,8.2,27.4,59.5,"medium and coarse","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"202351",1.8,0.3,7.699999809,20.9,9.8,189,"coarse","subangular blocky","glacial till sediments, mostly silty, thin","laurentian mixed forest province","C"
"42786",1.6,0.1,6,30.7,28.2,128,"medium","angular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"147588",1.2,0.6,7.800000191,27.4,30.7,136,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bk"
"121183",1.3,0.1,6,1.7,26.7,173,"coarse","prismatic","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Bt"
"14436",1.5,0.9,5.099999905,46.3,21.1,30,"medium","subangular blocky","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","B"
"37946",1.4,0.7,6.900000095,46,25.5,25.5,"coarse","prismatic","alluvial sediments, thick","california coastal range open woodland-shrub-coniferous forest-meadow province","A"
"130445",1.2,0.4,4.199999809,66.4,4.8,95.5,"thin","platy","residual materials developed in sedimentary rocks, discontinuous","eastern broadleaf forest (oceanic) province","B"
"213399",1.4,2,5.199999809,34,22.8,15,"medium","platy","glacial till sediments, mostly silty, thick","great plains steppe province","B"
"162575",1.4,0.2,4.599999905,44.9,3.7,63,"coarse","subangular blocky","glaciofluvial ice-contact sediments, mostly sand and gravel, thin","eastern broadleaf forest (oceanic) province","B"
"184015",1.4,0.4,7.599999905,14.2,54.3,102,"fine and medium","angular blocky","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","C"
"205454",1.3,0.5,8.899999619,22.8,31.9,89,"fine","angular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","B"
"203850",1.4,1,7.599999905,37.2,19.1,103,"medium","subangular blocky","alluvial sediments, thick","great plains-palouse dry steppe province","C"
"167884",1.9,0.7,6.800000191,76,9.2,9.5,"medium","granular","proglacial sediments, mostly coarse-grained, thick","eastern broadleaf forest (continental) province","Ap"
"117077",1.2,5.1,5.300000191,6.5,36.9,2.5,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","great plains steppe province",""
"209015",1.3,1.3,5.199999809,44.1,9.4,7.5,"medium","granular","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert province","A"
"16206",1.2,0.9,7.900000095,35.1,14.5,8.5,"fine","subangular blocky","alluvial sediments, thick","chihuahuan semi-desert province","B"
"166436",1.9,0.1,4.599999905,14.9,24.5,57.5,"very coarse","prismatic","glacial till sediments, mostly silty, thin","laurentian mixed forest province","Bx"
"55021",1.8,0.3,7,66.8,13.4,30.5,"medium and coarse","subangular blocky","alluvial sediments, thick","intermountain semi-desert and desert province","Bt"
"2648",1.2,1.4,7.599999905,29.8,48.4,47,"medium","wedge","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","Bt"
"194683",1.2,0.7,4.300000191,6.4,74.2,34.5,"medium","subangular blocky","proglacial sediments, mostly coarse-grained, thick","laurentian mixed forest province","Bt"
"210992",1.2,1.1,6,53.6,5.4,6,"fine","granular","residual materials developed in igneous and metamorphic rocks","cascade mixed forest-coniferous forest-alpine meadow province","Ap"
"138310",1,0.8,5.199999809,47.8,18.7,76,"fine","subangular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bt"
"101211",1.3,0.5,7.599999905,1.1,33.5,47,"very coarse","prismatic","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Bt"
"79991",1.3,0.4,3.700000048,34.4,48.2,70,"fine","subangular blocky","residual materials developed in alluvial sediments","southeastern mixed forest province","Bt"
"24234",1.2,1.3,7.199999809,65.2,15.7,1,"fine","granular","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","Ap"
"130968",1.4,0.7,5.400000095,28.5,44.9,31,"medium","subangular blocky","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Bt"
"148665",1.8,0.4,4.099999905,37.9,34.1,114,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bx"
"2152",1.2,0.2,7.800000191,27.1,50.5,172,"medium and coarse","subangular blocky","coastal zone sediments, mostly fine-grained","southwest plateau and plains dry steppe and shrub province","Bk"
"39246",1.7,0.2,3.900000095,47.2,18,30.5,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","southeastern mixed forest province","Bt"
"129776",1.1,3.3,4.400000095,5.9,36.7,6.5,"medium","granular","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Ap"
"105462",1.2,0.9,6.5,7.4,36.6,37.5,"thick","platy","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Bt"
"135814",1.5,0.4,5.699999809,8.2,14.8,112,"fine","platy","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","B"
"21314",1.1,1.7,7.400000095,5.8,55.4,22.5,"very fine and fine","angular blocky","residual materials developed in fine-grained sedimentary rocks","prairie parkland (subtropical) province","A"
"122992",1.3,0.5,4.699999809,23.7,33.4,116,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bt"
"33587",1.4,0.3,6.599999905,51.1,13.3,15.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","american semi-desert and desert province","Bt"
"171580",1.2,2.4,4.300000191,61.7,4.3,17.5,"medium","angular blocky","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","Bhs"
"119378",1.4,0.9,8.100000381,17.5,36.9,86.5,"fine and medium","subangular blocky","alluvial sediments, thick","intermountain semi-desert and desert province","Bk"
"50306",1.5,0.5,7.5,57.3,26.3,29,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","colorado plateau semi-desert province","Bt"
"2136",1.1,1.6,7.5,33,47.2,21.5,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","southwest plateau and plains dry steppe and shrub province","B"
"145703",1.9,0.4,4.199999809,60.1,12.5,58.5,"coarse","angular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"81838",1.6,0.6,8,44,23.9,49.5,"fine","granular","alluvial sediments, thin","great plains steppe province","C"
"113374",1.3,0.6,7.699999809,17.3,11.4,88,"coarse","prismatic","alluvial sediments, thick","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","Bk"
"80040",1.4,0.7,4.900000095,2.1,12.4,22,"fine","subangular blocky","proglacial sediments, mostly fine grained, discontinuous","eastern broadleaf forest (continental) province","B"
"38150",1.2,4.4,3,40.3,16,26,"medium","granular","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","AB"
"203681",1.1,0.8,7.900000095,30.5,35.6,93,"fine and medium","subangular blocky","glacial till sediments, mostly silty, thin","great plains-palouse dry steppe province","B"
"201561",1.4,1.4,6.400000095,35.9,31,9,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","middle rocky mountain steppe-coniferous forest-alpine meadow province","Bt"
"117009",1.2,2,5.5,4.1,31.2,7.5,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains steppe province",""
"37958",1.6,0.3,5,66.2,18.6,26.5,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","prairie parkland (subtropical) province","Bt"
"177114",1.1,1.8,7,7.2,34.3,20,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"203095",1.2,3.1,7.900000095,3.4,44.3,31.5,"coarse","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bk"
"173603",1.4,0.4,7.699999809,8.1,21.1,136,"fine","prismatic","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","B"
"66487",1.6,0.5,6.900000095,74.2,11.5,65,"fine","subangular blocky","eolian sediments, mostly dune sand, thin","great plains-palouse dry steppe province","Bt"
"30410",1.3,1.2,7.800000191,2.4,64.9,20.5,"medium","angular blocky","alluvial sediments, thin","great plains steppe and shrub province","By"
"142053",1.5,0.7,5.800000191,11.9,45.7,43.5,"medium","subangular blocky","glacial till sediments, mostly clayey, thin","eastern broadleaf forest (continental) province",""
"36701",1.4,1.9,3.900000095,29.4,10.5,6.5,"fine","granular","residual materials developed in bedrock, discontinuous","southeastern mixed forest province","A"
"133029",1.9,0.5,7.699999809,40.2,16.7,194.5,"very fine and fine","subangular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","Cd"
"40228",1.2,0.4,8.600000381,44.3,22.5,11.5,"medium","columnar","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","Bt"
"104156",1.6,0.2,4.199999809,64.9,10.8,77.5,"medium and coarse","subangular blocky","residual materials developed in igneous and metamorphic rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"115436",1.2,0.5,6.300000191,23.7,44.5,52.5,"medium","angular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bt"
"124901",1.5,1.8,6.400000095,16.2,25.1,11.5,"fine","granular","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Ap"
"157582",1.6,1.6,6.800000191,7.8,35.5,15,"coarse","subangular blocky","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (continental) province",""
"40600",1.5,0.2,4.400000095,50.6,8.1,62.5,"coarse","subangular blocky","volcanic rocks, rhyolitic","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bt"
"26072",1.4,0.3,4.599999905,43.8,35.4,101,"coarse","subangular blocky","residual materials developed in igneous and metamorphic rocks","southeastern mixed forest province","Bt"
"98844",1.6,0.5,4.400000095,10.1,30.1,78.5,"medium","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"149624",1.6,0.5,5.599999905,56.3,19.3,31.5,"medium","subangular blocky","colluvial sediments and residual material","eastern broadleaf forest (oceanic) province","B"
"32819",1.6,0.2,7.599999905,21.8,37.2,194,"fine","subangular blocky","alluvial sediments, thin","great plains steppe and shrub province","Bt"
"183793",1.4,0.3,6.599999905,9,63.9,46.5,"medium and coarse","prismatic","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","Bt"
"45056",0.9,4,6.300000191,11.8,43.8,2.5,"fine","granular","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Ap"
"20557",1.5,0.3,4.199999809,89.6,3.1,82.5,"medium","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","B"
"205644",1.4,1.1,7.699999809,18.8,27.2,49,"medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bt"
"158154",1.5,0.3,7.400000095,25.8,25,124.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","Bt"
"118795",1.5,0.4,5,8.3,26.5,35,"medium","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","B"
"157332",1.4,1.6,6.400000095,40,12.5,2.5,"medium","subangular blocky","residual materials developed in carbonate rocks, discontinuous","intermountain semi-desert and desert province","A"
"40783",1.4,0.5,7.5,36.2,31.3,142,"medium and coarse","subangular blocky","alluvial sediments, thin","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","B"
